_id,APPLICATION_TYPE,APPLICATION#,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,DATE_SUBMITTED,STATUS,X,Y,DESCRIPTION,REFERENCE_FILE#,FOLDERRSN,WARD_NUMBER,WARD_NAME,COMMUNITY_MEETING_DATE,COMMUNITY_MEETING_TIME,COMMUNITY_MEETING_LOCATION,APPLICATION_URL,CONTACT_NAME,CONTACT_PHONE,CONTACT_EMAIL,PARENT_FOLDER_NUMBER
9459,CD,18 160975 STE 27 CD,33,DUNDONALD,ST, ,M4Y,2018-05-17T00:00:00,Closed,314233.672,4836024.467,"Draft Plan of Phased Condominium related to a 37-storey mixed-use building containing 377 dwelling units, two grade-related commercial units, and four levels of below grade parking totaling 163 spaces. The first phase will consist of: two commercial units, 377 residential dwelling units within a 37-storey tower, and four levels of below-grade parking. The second phase will consist of 10 townhouse style residential dwelling units within the northern block of the development facing Dundonald Street.",,4374555,13,Toronto Centre,,,,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4374555&isCofASearch=false,,,,14 159828 STE 27 OZ
9460,CD,18 160975 STE 27 CD,35,DUNDONALD,ST, ,M4Y,2018-05-17T00:00:00,Closed,314243.556,4836027.777,"Draft Plan of Phased Condominium related to a 37-storey mixed-use building containing 377 dwelling units, two grade-related commercial units, and four levels of below grade parking totaling 163 spaces. The first phase will consist of: two commercial units, 377 residential dwelling units within a 37-storey tower, and four levels of below-grade parking. The second phase will consist of 10 townhouse style residential dwelling units within the northern block of the development facing Dundonald Street.",,4374555,13,Toronto Centre,,,,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4374555&isCofASearch=false,,,,14 159828 STE 27 OZ
9461,CD,18 160975 STE 27 CD,50,WELLESLEY,ST,E,M4Y,2018-05-17T00:00:00,Closed,314251.92,4835974.903,"Draft Plan of Phased Condominium related to a 37-storey mixed-use building containing 377 dwelling units, two grade-related commercial units, and four levels of below grade parking totaling 163 spaces. The first phase will consist of: two commercial units, 377 residential dwelling units within a 37-storey tower, and four levels of below-grade parking. The second phase will consist of 10 townhouse style residential dwelling units within the northern block of the development facing Dundonald Street.",,4374555,13,Toronto Centre,,,,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4374555&isCofASearch=false,,,,14 159828 STE 27 OZ
9462,SA,18 261617 STE 27 SA,111,YORKVILLE,AVE, ,M5R,2018-11-27T00:00:00,Closed,313440.695,4836530.712,"Site Plan Control application to permit a 4-storey commercial building with an open-air courtyard located at rear of the Subject Site. A new east-west pedestrian connection is proposed which will extend from Old York Lane in the west, through the rear courtyard, and connect to the planned east-west pedestrian connection at 101 Yorkville (File no. 17 277901 STE 27 SA) in the east. ",,4491971,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=%2BXE6SfkGciy7w%2Bh9Iaf45g%3D%3D,,,,
9463,OZ,08 152515 ESC 44 OZ,12,ELAINE LENNOX,CRT, ,M1B,2008-04-29T00:00:00,Closed,332426.227,4851504.344,"Revised plans of subdivision, and corresponding rezoning, for 5 single detached lots on a public road with access to Sheppard Avenue East.  One single family dwelling per lot is proposed.  Previous revised concept plan in January 2010 showed 3 single lots on a private road.  The original plan submitted in 2008 showed 6 single lots on a public road.  These applications have been appealed to the OMB and are now time sensitive due to an upcoming rehearing date.  The related subdivision file number is 08152520 ESC 44 SB.",,2104961,25,Scarborough-Rouge Park,2008-11-25T00:00:00,7:30 p.m.,Tall Pines Community Centre,,"Inglis Baron, Heather",(416) 392-0420,Heather.InglisBaron@toronto.ca,
9464,OZ,08 152515 ESC 44 OZ,10,ELAINE LENNOX,CRT, ,M1B,2008-04-29T00:00:00,Closed,332399.827,4851492.964,"Revised plans of subdivision, and corresponding rezoning, for 5 single detached lots on a public road with access to Sheppard Avenue East.  One single family dwelling per lot is proposed.  Previous revised concept plan in January 2010 showed 3 single lots on a private road.  The original plan submitted in 2008 showed 6 single lots on a public road.  These applications have been appealed to the OMB and are now time sensitive due to an upcoming rehearing date.  The related subdivision file number is 08152520 ESC 44 SB.",,2104961,25,Scarborough-Rouge Park,2008-11-25T00:00:00,7:30 p.m.,Tall Pines Community Centre,,"Inglis Baron, Heather",(416) 392-0420,Heather.InglisBaron@toronto.ca,
9465,OZ,19 122810 STE 19 OZ,985,WOODBINE,AVE, ,M4C,2019-03-07T00:00:00,Closed,319900.273,4838285.112,Official Plan and Zoning By-Law Amendments to permit the redevelopment of the site for a a 35-storey residential mixed-use building along Danforth Avenue and a 10-storey residential building along Strathmore Boulevard. The two buildings share an underground parking garage.,,4533699,19,Beaches-East York,2019-05-23T00:00:00,7:00pm,Hope United Church,http://app.toronto.ca/AIC/index.do?folderRsn=dn%2B6RH0CD%2B4XXAMv0SQHnw%3D%3D,,,,
9466,OZ,13 203675 STE 19 OZ,860,DUPONT,ST, ,M6G,2013-07-12T00:00:00,Closed,310569.426,4836505.177,"Official Plan Amendment and Re-Zoning application to permit a 9-storey mixed use development including office, retail, and residential uses.  The total proposed residential gross floor area will be 26,221 square metres and the non residential gross floor area proposed is 3,067 square metres.",,3393849,11,University-Rosedale,2023-03-01T00:00:00,10:00am,Online,http://app.toronto.ca/AIC/index.do?folderRsn=8j%2F3t9%2BO6RWK32MxZqf53w%3D%3D,,,,
9467,SA,18 114724 NNY 26 SA,139,LAIRD,DR, ,M4G,2018-02-07T00:00:00,Closed,315878.964,4840707.591,Site Plan Application to permit the development of a new two storey car dealership on the northern portion of the site and a new 4 storey parking garage on the northeast portion of the site. The existing dealership on the southern portion of the site is to remain. ,,4319890,15,Don Valley West,,,,http://app.toronto.ca/AIC/index.do?folderRsn=UypiCUERM2IqR6332ioLTg%3D%3D,,,,
9468,CD,18 158160 STE 20 CD,578,FRONT,ST,W,M5V,2018-05-14T00:00:00,Closed,312799.685,4833298.923,Draft Plan of Condominium for newly-constructed mixed use building (Tower 1): 367 dwelling units,,4371271,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=iulrO%2BoFtr%2BKrbUy84JE1A%3D%3D,,,,11 230641 STE 20 OZ
9469,OZ,17 266470 STE 29 OZ,999,BROADVIEW,AVE, ,M4K,2017-11-23T00:00:00,Closed,316343.972,4838022.81,"Zoning By-law Amendment to facilitate redevelopment of the site with a 7-storey mixed use building: 50 dwelling units, height 24.2 metres, 5260 square metres of residential gross floor area and 409 square metres of retail space on the ground floor",,4285622,14,Toronto-Danforth,2018-01-23T00:00:00,7:00pm,The Estonian House,http://app.toronto.ca/AIC/index.do?folderRsn=SawzLJGJ2XIdbHanpX0%2BUQ%3D%3D,,,,
9470,OZ,17 266470 STE 29 OZ,1001,BROADVIEW,AVE, ,M4K,2017-11-23T00:00:00,Closed,316345.285,4838029.071,"Zoning By-law Amendment to facilitate redevelopment of the site with a 7-storey mixed use building: 50 dwelling units, height 24.2 metres, 5260 square metres of residential gross floor area and 409 square metres of retail space on the ground floor",,4285622,14,Toronto-Danforth,2018-01-23T00:00:00,7:00pm,The Estonian House,http://app.toronto.ca/AIC/index.do?folderRsn=SawzLJGJ2XIdbHanpX0%2BUQ%3D%3D,,,,
9471,OZ,18 133602 WET 05 OZ,5509,DUNDAS,ST,W,M9B,2018-03-23T00:00:00,Closed,301146.866,4832191.325,"The Zoning By-law Amendment application to permit the redevelopment of the Subject Lands for a 21-storey mixed use building. The proposed development would provide for a total of 21934 square metres of gross floor area  comprised of 20,725 square metres of residential uses (95% of the total GFA), 1,209 square metres of at-grade retail uses.",,4342370,03,Etobicoke-Lakeshore,2019-02-27T00:00:00,6:30pm,Churchh of Resurrection,http://app.toronto.ca/AIC/index.do?folderRsn=C%2FqZsivE4cber2INxZZ5BQ%3D%3D,,,,
9472,OZ,18 126100 ESC 36 OZ,3686,ST CLAIR,AVE,E,M1M,2018-03-07T00:00:00,Closed,325005.39,4841980.659,"Proposed mixed-use stacked townhouse development with a total of 16 residential units (16 two-bedroom units). The ground floor would include 2 single level residential units and one commercial unit on the south-west corner. The second and third levels would include 14 back-to-back residential units. A total gross floor area of 1,984 square metres is proposed (1.83 FSI). A total of 19 parking spaces (16 resident and 3 visitor) would be located at the rear of the property and driveway access would be from Vivian Road. A total of 13 bicycle spaces are proposed (11 resident and 2 visitor). Refer to related Site Plan Approval Application No. 18 221756 ESC 36 SA.",,4333442,20,Scarborough Southwest,2018-06-21T00:00:00,6:00pm,Highway Gospel Church,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4333442&isCofASearch=false,,,,
9473,OZ,18 106120 NNY 23 OZ,5400,YONGE,ST, ,M2N,2018-01-17T00:00:00,Closed,311654.452,4848082.072,"The applicant has proposed an Official Plan Amendment and Zoning Bylaw Amendment application for a 32-storey residential tower comprised of 324 dwelling units with a 4-storey mixed residential, retail and commercial podium. A 338 sq. metre Privately-owner Publicly Accessible Space (POPS) is proposed on the western portion of the subject site. ",,4309558,18,Willowdale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=93yCTwJCF9X5mvoZ3MU%2FWw%3D%3D,,,,
9474,SA,18 149815 STE 28 SA,595,SHERBOURNE,ST, ,M4X,2018-04-27T00:00:00,NOAC Issued,314781.429,4836565.184,"Site Plan Control application for a 51-storey mixed use building with a GFA of 35,000 sq. m with 499 sq. m of retail space and 511 residential units, and the total number of rental units on the Block is 2057 units, of which 24 are rental replacement units (and therefore not market). The overall FSI is 7.38. ",,4361534,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4kBaIi10dkQIwxKD6%2BFz4Q%3D%3D,"Smith, Danielle",416-392-4982,Danielle.Smith@toronto.ca,15 206976 STE 28 OZ
9475,SA,18 149815 STE 28 SA,599,SHERBOURNE,ST, ,M4X,2018-04-27T00:00:00,NOAC Issued,314778.105,4836578.341,"Site Plan Control application for a 51-storey mixed use building with a GFA of 35,000 sq. m with 499 sq. m of retail space and 511 residential units, and the total number of rental units on the Block is 2057 units, of which 24 are rental replacement units (and therefore not market). The overall FSI is 7.38. ",,4361534,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4kBaIi10dkQIwxKD6%2BFz4Q%3D%3D,"Smith, Danielle",416-392-4982,Danielle.Smith@toronto.ca,15 206976 STE 28 OZ
9476,SA,18 149815 STE 28 SA,601,SHERBOURNE,ST, ,M4X,2018-04-27T00:00:00,NOAC Issued,314774.862,4836583.052,"Site Plan Control application for a 51-storey mixed use building with a GFA of 35,000 sq. m with 499 sq. m of retail space and 511 residential units, and the total number of rental units on the Block is 2057 units, of which 24 are rental replacement units (and therefore not market). The overall FSI is 7.38. ",,4361534,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4kBaIi10dkQIwxKD6%2BFz4Q%3D%3D,"Smith, Danielle",416-392-4982,Danielle.Smith@toronto.ca,15 206976 STE 28 OZ
9477,SA,18 149815 STE 28 SA,597,SHERBOURNE,ST, ,M4X,2018-04-27T00:00:00,NOAC Issued,314780.374,4836569.693,"Site Plan Control application for a 51-storey mixed use building with a GFA of 35,000 sq. m with 499 sq. m of retail space and 511 residential units, and the total number of rental units on the Block is 2057 units, of which 24 are rental replacement units (and therefore not market). The overall FSI is 7.38. ",,4361534,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4kBaIi10dkQIwxKD6%2BFz4Q%3D%3D,"Smith, Danielle",416-392-4982,Danielle.Smith@toronto.ca,15 206976 STE 28 OZ
9478,SA,18 149815 STE 28 SA,3,HOWARD,ST, ,M4X,2018-04-27T00:00:00,NOAC Issued,314781.328,4836586.519,"Site Plan Control application for a 51-storey mixed use building with a GFA of 35,000 sq. m with 499 sq. m of retail space and 511 residential units, and the total number of rental units on the Block is 2057 units, of which 24 are rental replacement units (and therefore not market). The overall FSI is 7.38. ",,4361534,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4kBaIi10dkQIwxKD6%2BFz4Q%3D%3D,"Smith, Danielle",416-392-4982,Danielle.Smith@toronto.ca,15 206976 STE 28 OZ
9479,SA,18 149815 STE 28 SA,589,SHERBOURNE,ST, ,M4X,2018-04-27T00:00:00,NOAC Issued,314789.173,4836546.733,"Site Plan Control application for a 51-storey mixed use building with a GFA of 35,000 sq. m with 499 sq. m of retail space and 511 residential units, and the total number of rental units on the Block is 2057 units, of which 24 are rental replacement units (and therefore not market). The overall FSI is 7.38. ",,4361534,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4kBaIi10dkQIwxKD6%2BFz4Q%3D%3D,"Smith, Danielle",416-392-4982,Danielle.Smith@toronto.ca,15 206976 STE 28 OZ
9480,SA,18 149815 STE 28 SA,5,HOWARD,ST, ,M4X,2018-04-27T00:00:00,NOAC Issued,314786.525,4836586.401,"Site Plan Control application for a 51-storey mixed use building with a GFA of 35,000 sq. m with 499 sq. m of retail space and 511 residential units, and the total number of rental units on the Block is 2057 units, of which 24 are rental replacement units (and therefore not market). The overall FSI is 7.38. ",,4361534,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4kBaIi10dkQIwxKD6%2BFz4Q%3D%3D,"Smith, Danielle",416-392-4982,Danielle.Smith@toronto.ca,15 206976 STE 28 OZ
9481,SA,17 170226 NNY 08 SA,20,DE BOERS,DR, ,   ,2017-05-31T00:00:00,Closed,307584.882,4845550.171,Construct an apartment building with 3 below grade parking levels; 14 storeys of residential and 1 storey mechanical on the roof. See PPR 17-155343 ZPR,,4173842,06,York Centre,,,,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4173842&isCofASearch=false,,,,
9482,SA,17 229976 WET 05 SA,1128,ISLINGTON,AVE, ,M8Z,2017-09-08T00:00:00,Closed,303078.217,4832958.339,Proposal for 12 four storey townhouse units (Block 1) oriented to Islington Avenue and two semi - detached dwellings (Block 2) oriented to Chauncey Avenue.,,4242537,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=rqcfIt8XzdQrHqXLfJhF5A%3D%3D,"zzzRezoski, Al",416-395-7121,Al.Rezoski@toronto.ca,16 268406 WET 05 OZ
9483,SA,17 229976 WET 05 SA,1130,ISLINGTON,AVE, ,M8Z,2017-09-08T00:00:00,Closed,303073.287,4832979.266,Proposal for 12 four storey townhouse units (Block 1) oriented to Islington Avenue and two semi - detached dwellings (Block 2) oriented to Chauncey Avenue.,,4242537,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=rqcfIt8XzdQrHqXLfJhF5A%3D%3D,"zzzRezoski, Al",416-395-7121,Al.Rezoski@toronto.ca,16 268406 WET 05 OZ
9484,OZ,17 188558 STE 22 OZ,368,EGLINTON,AVE,E,M4P,2017-06-27T00:00:00,OMB Approved,313899.521,4840840.284,To construct an 11-storey addition on the east side of the existing 13-storey rental apartment building.  The existing building contains 148 dwelling units; the proposed adddition contains 96 dwelling units.,,4194530,15,Don Valley West,2018-02-07T00:00:00,6:30pm,Best Western Roehampton Hotel ,http://app.toronto.ca/AIC/index.do?folderRsn=kI%2FZ%2Bnx6bHgCWxsn6N2npg%3D%3D,"Andreevski, John",(416) 395-7097,John.Andreevski@toronto.ca,
9485,OZ,17 188558 STE 22 OZ,386,EGLINTON,AVE,E,M4P,2017-06-27T00:00:00,OMB Approved,313950.924,4840845.898,To construct an 11-storey addition on the east side of the existing 13-storey rental apartment building.  The existing building contains 148 dwelling units; the proposed adddition contains 96 dwelling units.,,4194530,15,Don Valley West,2018-02-07T00:00:00,6:30pm,Best Western Roehampton Hotel ,http://app.toronto.ca/AIC/index.do?folderRsn=kI%2FZ%2Bnx6bHgCWxsn6N2npg%3D%3D,"Andreevski, John",(416) 395-7097,John.Andreevski@toronto.ca,
9486,SA,17 278161 NNY 26 SA,939,EGLINTON,AVE,E,M4G,2017-12-21T00:00:00,Closed,316034.864,4841293.326,"Site Plan application to permit phase 1 and  phase 2 of the 3 phase development. A total of 51,300 square metres of GFA (49,093 square metres of residential and 2,207 square metres of non-residential), 514 residential units and 516 parking spaces is proposed. Phase 1 includes Building A which has a height of 68.65 metres and Building B with a height of 56.5 metres.",,4299659,15,Don Valley West,,,,http://app.toronto.ca/AIC/index.do?folderRsn=3CszrzG2xoVf%2BRfeolHKzQ%3D%3D,,,,15 141830 NNY 26 OZ
9487,SA,18 110406 ESC 42 SA,1395,TAPSCOTT,RD, ,   ,2018-01-26T00:00:00,Closed,325348,4854879.27,"Proposed 36,138 sq.m. one storey industrial building including 2,768 sq.m. of office space in a two-storey building in the south-west portion of the building, 38 loading spaces and 248 vehicle parking spaces.",,4314771,23,Scarborough North,,,,http://app.toronto.ca/AIC/index.do?folderRsn=eJgosihItloxac4Km6fYDQ%3D%3D,,,,
9488,OZ,18 118264 STE 30 OZ,675,COMMISSIONERS,ST, ,   ,2018-02-16T00:00:00,Closed,318776.473,4834899.352,A City-initiated rezoning application to permit a postal sorting station on the subject lands at 675 Commissioners Street. ,,4324206,14,Toronto-Danforth,,,,,,,,
9489,OZ,18 186858 NNY 16 OZ,2500,YONGE,ST, ,M4P,2018-06-29T00:00:00,Closed,312861.782,4841125.12,"Revised proposal for a 14-storey mixed use building containing 172 dwelling units (17,681 square metres) and retail uses (1,372 square metres) at grade.  The proposal includes 3 levels of underground parking containing a total of 184 parking spaces.",,4404109,08,Eglinton-Lawrence,2019-09-25T00:00:00,7:00pm,Glenview Prebyterian Church,http://app.toronto.ca/AIC/index.do?folderRsn=FqvvECzq9ntDBgXCPEFMUw%3D%3D,,,,
9490,CD,17 246780 ESC 36 CD,1092,KINGSTON,RD, ,M1N,2017-10-12T00:00:00,Closed,322309.258,4837744.062,Standard Condominium application for an 8 - 10 storey mixed-use building with144 residential units and 186 parking spaces.,,4262327,20,Scarborough Southwest,,,,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4262327&isCofASearch=false,,,,13 163031 ESC 36 SA
9491,CD,17 246780 ESC 36 CD,1088,KINGSTON,RD, ,M1N,2017-10-12T00:00:00,Closed,322303.122,4837739.679,Standard Condominium application for an 8 - 10 storey mixed-use building with144 residential units and 186 parking spaces.,,4262327,20,Scarborough Southwest,,,,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4262327&isCofASearch=false,,,,13 163031 ESC 36 SA
9492,OZ,18 154373 NNY 26 OZ,11-19,INDUSTRIAL,ST, ,M4G,2018-05-07T00:00:00,Closed,315971.097,4840605.974,"The application proposes to expand the existing Leaside Village shopping centre with three newcommercial buildings, one two-storeys in height and the other two one-storey in height, with 7,031.9 square metres of gross floor area. There are106 vehicle parking spaces, 32 bicycle parking spaces, and 3 loading spaces proposed on the site.",,4366896,15,Don Valley West,2019-03-04T00:00:00,6:30pm,Leaside ,http://app.toronto.ca/AIC/index.do?folderRsn=Tt2sRVpjLfdlH2dt%2BIlKTw%3D%3D,,,,
9493,CD,17 274390 WET 01 CD,86,GUIDED,CRT, ,M9V,2017-12-12T00:00:00,Closed,295942.848,4845810.571,The proposal is to convert the existing industrial building to an industrial condominium building. The building consists of 19 units in total (above ground) and 3 basement storage units.,,4294820,01,Etobicoke North,,,,http://app.toronto.ca/AIC/index.do?folderRsn=0LwTMRbfF2nrUVmlHg3bAw%3D%3D,,,,
9494,CD,17 272945 STE 28 CD,12,BONNYCASTLE,ST, ,   ,2017-12-07T00:00:00,Closed,315687.59,4833783.78,Draft Plan Of Condominium application for a recently-constructed mixed-use building containing 550 dwelling units,,4293134,10,Spadina-Fort York,,,,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4293134&isCofASearch=false,,,,11 288589 STE 28 SA
9495,SA,13 110991 WET 17 SA,31,POWERHOUSE,ST, ,   ,2013-01-24T00:00:00,Closed,308934.181,4836408.896,Proposal to permit the construction of an 91-unit stacked townhouse development located in 5 building blocks.  This proposed development represents Phase 5 of the Davenport Village Area Development.,,3286035,09,Davenport,,,,,,,,08 215535 WET 17 SB
9496,OZ,17 274213 ESC 37 OZ,2180,LAWRENCE,AVE,E,M1P,2017-12-11T00:00:00,Closed,322142.974,4845155.173,"Proposal for a mixed-use development consisting of a 21 storey building including 564 sm of retail space(at the northeast corner of Lawrence Ave E and Birchmount Rd.), a 7 storey mid-rise building (along Birchmount Rd.), 3 blocks of stacked townhouses (for an overall total of 288 dwelling units), a 395 sm Privately Owned Public Space (POPS) on the Lawrence Ave. East frontage, and a new 500 sm public park at the north-east corner of the site on Dulverton Rd.  A total of 322 parking spaces would be provided underground on 4 levels.",,4294603,21,Scarborough Centre,2018-01-23T00:00:00,7:00pm,McGregor park Community Centre,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4294603&isCofASearch=false,,,,
9497,OZ,17 257139 STE 22 OZ,220,SOUDAN,AVE, ,M4S,2017-11-02T00:00:00,OMB Approved,313622.513,4840462.947,"Revised - subsequen to OLT OZ settlement, and Site Plan Application filed which separates lands comprised of 214-226 Soudan Avenue and 19-21 Brownlow Avenuefrom the Briton House Retirement complex (municipally known as 700-730 Mount Pleasant Road) to permit the development of a 21-storey condominium building (71 metres including mechnaical penthouse) with a 4-storey base building, a total residential gross floor area of approximately 15,330.38 square metres, 204 residential units and 65 parking spaces.",,4274619,12,Toronto-St. Paul's,,,,http://app.toronto.ca/AIC/index.do?folderRsn=keqtbf4QKJnB9nD5egqR7Q%3D%3D,"Miller, Patrick",416-338-3002,Patrick.Miller@toronto.ca,
9498,OZ,17 257139 STE 22 OZ,222,SOUDAN,AVE, ,M4S,2017-11-02T00:00:00,OMB Approved,313628.282,4840466.317,"Revised - subsequen to OLT OZ settlement, and Site Plan Application filed which separates lands comprised of 214-226 Soudan Avenue and 19-21 Brownlow Avenuefrom the Briton House Retirement complex (municipally known as 700-730 Mount Pleasant Road) to permit the development of a 21-storey condominium building (71 metres including mechnaical penthouse) with a 4-storey base building, a total residential gross floor area of approximately 15,330.38 square metres, 204 residential units and 65 parking spaces.",,4274619,12,Toronto-St. Paul's,,,,http://app.toronto.ca/AIC/index.do?folderRsn=keqtbf4QKJnB9nD5egqR7Q%3D%3D,"Miller, Patrick",416-338-3002,Patrick.Miller@toronto.ca,
9499,SA,17 269708 STE 30 SA,721,EASTERN,AVE, ,M4M,2017-11-30T00:00:00,Closed,318442.201,4835254.391,"Site Plan for Site 1, the southern portion of the site for a multifunctional 5 storey 26,081 m2 building with employment uses, auto dealership, and ancillary uses. This application is related to 17 258257, 17 137240, and 17 137249 for rezoning, opa, and subdivision for the whole property. ",,4289364,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=%2F9GCGP%2Fq5ILJXjVlfrXLKw%3D%3D,,,,17 137240 STE 30 OZ
9500,CD,17 269741 STE 27 CD,411,CHURCH,ST, ,M4Y,2017-11-30T00:00:00,Closed,314510.23,4835645.522,Draft Plan of Condominium for a newly-constructed mixed-use building: 572 dwelling units.,,4289421,13,Toronto Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=WMYwUjV14oWTGehHJ8El2g%3D%3D,,,,15 205116 STE 27 OZ
9501,OZ,16 262666 NNY 10 OZ,863,SHEPPARD,AVE,W,M3H,2016-12-09T00:00:00,Closed,308502.243,4845562.13,"This application proposes 160 3 to 5-storey stacked, back-to-back and standard townhouses witth 180 underground parking spaces and 1 surface parking space.  The proposed gross floor area of 16,486 square metres results in an FSI of 1.76 times the area of the lot.  The applications were approved in principle at the NOAC.  The purposes of this circulation is to finalize the NOAC.",,4075154,06,York Centre,2017-06-08T00:00:00,6:30pm,William Lyon Mackenzie Collegiate Institute,http://app.toronto.ca/AIC/index.do?folderRsn=H54WdkwQpLQdYWav8hh6GQ%3D%3D,,,,
9502,OZ,18 107119 NNY 24 OZ,1,GARNIER,CRT, ,M2M,2018-01-19T00:00:00,Closed,313288.058,4850812.865, Resubmission Form Dec 21/2018. Zoning Bylaw Amendment application to permit the construction of a 3-storey townhouse building  containing 9 dwelling units.,,4310716,17,Don Valley North,2018-06-06T00:00:00,7:00pm,Tyndale University College and Seminary,http://app.toronto.ca/AIC/index.do?folderRsn=pX36OioCKL3ppv8xC9Tn5g%3D%3D,,,,
9503,SA,18 150564 ESC 37 SA,1255,BIRCHMOUNT,RD, ,M1P,2018-04-30T00:00:00,Final Approval Completed,322176.6,4844997.277,"To construct 21 three-storey townhouses at the rear of the property. The townhouses will have a height of 13.68 m and gross floor area of 2,498 m². The existing six-storey rental apartment building containing 71 units will be maintained.",,4362373,21,Scarborough Centre,,,,http://app.toronto.ca/AIC/index.do?folderRsn=3y4bcR6bXuNfbZ4wvsoWHQ%3D%3D,"Caldwell, Emily",416-396-4927,Emily.Caldwell@toronto.ca,
9504,SA,18 133753 STE 22 SA,89,ROEHAMPTON,AVE, ,M4P,2018-03-23T00:00:00,Closed,313173.623,4840714.618,Proposal for site plan related to a new 38 storey rental apartment building containing 237 units to be built adjacent to the existing 19-storey rental apartment building which contains 146 units (total of 383 units),,4342537,12,Toronto-St. Paul's,,,,http://app.toronto.ca/AIC/index.do?folderRsn=vdMZGYrMjEeLKzuv9ktx2w%3D%3D,"Zhou, Kai",416-338-0810,Kai.Zhou@toronto.ca,16 112811 STE 22 OZ
9505,SA,18 133753 STE 22 SA,101,ROEHAMPTON,AVE, ,M4P,2018-03-23T00:00:00,Closed,313214.933,4840717.855,Proposal for site plan related to a new 38 storey rental apartment building containing 237 units to be built adjacent to the existing 19-storey rental apartment building which contains 146 units (total of 383 units),,4342537,12,Toronto-St. Paul's,,,,http://app.toronto.ca/AIC/index.do?folderRsn=vdMZGYrMjEeLKzuv9ktx2w%3D%3D,"Zhou, Kai",416-338-0810,Kai.Zhou@toronto.ca,16 112811 STE 22 OZ
9506,CD,18 133881 STE 20 CD,128,PEARS,AVE, ,M5R,2018-03-23T00:00:00,Closed,313019.005,4837077.013,"Plan of Standard Condominium to permit a 12-storey mixed-use building containing: 42 dwelling units, a total of 48 parking spaces (45 spaces for residences and 3 spaces for visitors below grade) and 253 square metres of office space.",,4342702,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=KycPfqGCNIrcy4jcNOgDMw%3D%3D,,,,11 169962 STE 20 OZ
9507,OZ,17 257139 STE 22 OZ,224,SOUDAN,AVE, ,M4S,2017-11-02T00:00:00,OMB Approved,313633.6,4840467.561,"Revised - subsequen to OLT OZ settlement, and Site Plan Application filed which separates lands comprised of 214-226 Soudan Avenue and 19-21 Brownlow Avenuefrom the Briton House Retirement complex (municipally known as 700-730 Mount Pleasant Road) to permit the development of a 21-storey condominium building (71 metres including mechnaical penthouse) with a 4-storey base building, a total residential gross floor area of approximately 15,330.38 square metres, 204 residential units and 65 parking spaces.",,4274619,12,Toronto-St. Paul's,,,,http://app.toronto.ca/AIC/index.do?folderRsn=keqtbf4QKJnB9nD5egqR7Q%3D%3D,"Miller, Patrick",416-338-3002,Patrick.Miller@toronto.ca,
9508,OZ,17 257139 STE 22 OZ,226,SOUDAN,AVE, ,M4S,2017-11-02T00:00:00,OMB Approved,313645.653,4840471.911,"Revised - subsequen to OLT OZ settlement, and Site Plan Application filed which separates lands comprised of 214-226 Soudan Avenue and 19-21 Brownlow Avenuefrom the Briton House Retirement complex (municipally known as 700-730 Mount Pleasant Road) to permit the development of a 21-storey condominium building (71 metres including mechnaical penthouse) with a 4-storey base building, a total residential gross floor area of approximately 15,330.38 square metres, 204 residential units and 65 parking spaces.",,4274619,12,Toronto-St. Paul's,,,,http://app.toronto.ca/AIC/index.do?folderRsn=keqtbf4QKJnB9nD5egqR7Q%3D%3D,"Miller, Patrick",416-338-3002,Patrick.Miller@toronto.ca,
